position,Company,link,location,stipend,start_date
Content Writing,InMobi,https://internshala.com//internship/detail/content-writing-internship-in-bangalore-at-inmobi1552903598,Bangalore,"25000-30000 /Month                                
                            ",Immediately
Human Resources (HR),OnePlus,https://internshala.com//internship/detail/human-resources-hr-internship-in-bangalore-at-oneplus1552830190,Bangalore,"10000 /Month                                
                            ",Immediately
Campus Ambassador,PUMA Sports India Limited,https://internshala.com//internship/detail/campus-ambassador-programme-at-puma-sports-india-limited1552646037,Delhi,"Performance Based                                
",Immediately
Business Development (Sales),UrbanClap Technologies India Private Limited,https://internshala.com//internship/detail/business-development-sales-internship-in-bangalore-at-urbanclap-technologies-india-private-limited1552633986,Bangalore,"7000 /Month                                
                            ",Immediately
Operations,eLitmus Evaluation Private Limited,https://internshala.com//internship/detail/operations-internship-in-bangalore-at-elitmus-evaluation-private-limited1552633918,Bangalore,"12000-15000 /Month                                
                            ",Immediately
Digital Marketing,Decathlon Sports India - EVA Mall,https://internshala.com//internship/detail/digital-marketing-internship-in-bangalore-at-decathlon-sports-india-eva-mall1552650055,Bangalore,"8000 /Month                                
                            ",Immediately
Business Development (Sales),Mahindra Insurance Brokers,https://internshala.com//internship/detail/business-development-sales-internship-in-bangalore-at-mahindra-insurance-brokers1552556211,Bangalore,"10000 /Month                                
                            ",Immediately
Content Writing,Decathlon Sports India Private Limited,https://internshala.com//internship/detail/content-writing-internship-in-bangalore-at-decathlon-sports-india-private-limited1552546452,Bangalore,"10000 /Month                                
                            ",Immediately
Content Writing,The Better India,https://internshala.com//internship/detail/content-writing-internship-in-bangalore-at-the-better-india1552479809,Bangalore,"10000 /Month                                
                            ",Immediately
Business Development (Sales),OYO Home,https://internshala.com//internship/detail/business-development-sales-internship-in-bangalore-at-oyo-home1552462545,Bangalore,"8000-10000 /Month                                
                            ",Immediately
Business Development (Sales),Shoppers Stop Limited,https://internshala.com//internship/detail/business-development-sales-part-time-job-internship-at-bangalore-in-shoppers-stop-limited1552460949,Bangalore,"5000 /Month                                
                            ",Immediately
Digital Marketing,Sportskeeda,https://internshala.com//internship/detail/digital-marketing-internship-in-bangalore-at-sportskeeda1552465456,Bangalore,"6000 /Month                                
                            ",Immediately
Business Development (Sales),Delhivery Private Limited,https://internshala.com//internship/detail/business-development-sales-internship-in-multiple-locations-at-delhivery-private-limited1552392911,Chennai,"5000 /Month                                
                            ",Immediately
Customer Support Executive,PhonePe,https://internshala.com//internship/detail/customer-support-executive-internship-in-bangalore-at-phonepe1552374758,Bangalore,"15000-25000 /Month                                
                            ",Immediately
Business Analytics,Flipkart,https://internshala.com//internship/detail/business-analytics-internship-in-bangalore-at-flipkart1552282103,Bangalore,"20000-30000 /Month                                
                            ",Immediately
Operations,UrbanClap,https://internshala.com//internship/detail/operations-internship-in-bangalore-at-urbanclap1551952940,Bangalore,"7000 /Month                                
                            ",Immediately
Business Development (Sales),Zoomcar India Private Limited,https://internshala.com//internship/detail/business-development-sales-internship-in-bangalore-at-zoomcar-india-private-limited1551944848,Bangalore,"3000 /Month                                
                            ",Immediately
Operations,Treebo Hotels,https://internshala.com//internship/detail/operations-internship-in-bangalore-at-treebo-hotels1551878860,Bangalore,"10000 /Month                                
                            ",Immediately
Travel & Tourism,MakeMyTrip,https://internshala.com//internship/detail/travel-tourism-internship-in-multiple-locations-at-makemytrip1551875741,Ahmedabad,"7500 /Month                                
                            ",Immediately
Business Development (Sales),OYO Home,https://internshala.com//internship/detail/business-development-sales-internship-in-multiple-locations-at-oyo-home1551935780,Pune,"8000 /Month                                
                            ",Immediately
Fashion Design,Myntra Design Private Limited,https://internshala.com//internship/detail/fashion-design-part-time-job-internship-at-gurgaon-bangalore-in-myntra-design-private-limited1551357263,Gurgaon,"12000 /Month +  Incentives                                
",Immediately
Human Resources (HR),Societe Generale,https://internshala.com//internship/detail/human-resources-hr-internship-in-bangalore-at-societe-generale1551420811,Bangalore,"20000 /Month                                
                            ",Immediately
Digital Marketing,Sportskeeda,https://internshala.com//internship/detail/digital-marketing-internship-in-bangalore-at-sportskeeda1551353269,Bangalore,"15000 /Month                                
                            ",Immediately
Business Development (Sales),Delhivery - NVD,https://internshala.com//internship/detail/business-development-sales-internship-in-bangalore-at-delhivery-nvd1551347631,Bangalore,"6000-8000 /Month                                
                            ",Immediately
Social Media Marketing,OnePlus,https://internshala.com//internship/detail/social-media-marketing-internship-in-bangalore-at-oneplus1551250615,Bangalore,"8000-15000 /Month                                
                            ",Immediately
Marketing,OnePlus,https://internshala.com//internship/detail/marketing-internship-in-bangalore-at-oneplus1551250414,Bangalore,"8000-15000 /Month                                
                            ",Immediately
Business Development (Sales),Delhivery - NVD,https://internshala.com//internship/detail/business-development-sales-internship-in-bangalore-at-delhivery-nvd1551160744,Bangalore,"5000 /Month                                
                            ",Immediately
Chartered Accountancy (CA),HP Incorporation,https://internshala.com//internship/detail/chartered-accountancy-ca-internship-in-bangalore-at-hp-incorporation1551149502,Bangalore,"35000 /Month                                
                            ",Immediately
Content Writing,Sportskeeda,https://internshala.com//internship/detail/content-writing-internship-in-bangalore-at-sportskeeda1551078309,Bangalore,"6000 /Month                                
                            ",Immediately
Customer Service,McDonald's India (West & South),https://internshala.com//internship/detail/customer-service-internship-in-multiple-locations-at-mcdonalds-india-west-south1551094180,Ahmedabad,"13500 /Month                                
                            ",Immediately
Operations,Times Internet,https://internshala.com//internship/detail/operations-internship-in-bangalore-at-times-internet1550059965,Bangalore,"10000 /Month                                
                            ",Immediately
Media for Social Change Fellowship,YES FOUNDATION,https://internshala.com//internship/detail/media-for-social-change-fellowship-internship-in-multiple-locations-at-yes-foundation1551255492,Ahmedabad,"10000 Lump-Sum                                
                            ",22 Apr - 27 May'19
Business Development (Sales),Pocket FM,https://internshala.com//internship/detail/business-development-sales-internship-in-bangalore-at-pocket-fm1551161273,Bangalore,"12000-18000 /Month                                
                            ",Immediately
Business Development (Sales),Kudroli World,https://internshala.com//internship/detail/business-development-sales-internship-in-bangalore-at-kudroli-world1552911945,Bangalore,"9000-12000 /Month                                
                            ",Immediately
Operations,SharePal,https://internshala.com//internship/detail/operations-part-time-job-internship-at-bangalore-in-sharepal1552922476,Bangalore,"4000-6000 /Month                                
                            ",Immediately
Human Resources (HR),ZestMoney,https://internshala.com//internship/detail/human-resources-hr-internship-in-bangalore-at-zestmoney1552982828,Bangalore,"15000 /Month                                
                            ",Immediately
Business Development (Sales),Expostores,https://internshala.com//internship/detail/business-development-sales-internship-in-kolkata-bangalore-at-expostores1552911243,Kolkata,"2000 /Month +  Incentives                                
",Immediately
Marketing,Gloify,https://internshala.com//internship/detail/marketing-internship-in-bangalore-at-gloify1552922358,Bangalore,"12000 /Month                                
                            ",Immediately
Operations,MintM Incorporated,https://internshala.com//internship/detail/operations-internship-in-bangalore-at-mintm-incorporated1552910711,Bangalore,"6000-10000 /Month                                
                            ",Immediately
Business Development (Sales),Mindsoft IT Solutions Private Limited,https://internshala.com//internship/detail/business-development-sales-part-time-job-internship-at-multiple-locations-in-mindsoft-it-solutions-private-limited1552980593,Bhubaneswar,"6000 /Month +  Incentives                                
",Immediately
